movieId,title,genres,Mean,Number of Ratings
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.8724696356275303,247
2,Jumanji (1995),Adventure|Children|Fantasy,3.4018691588785046,107
3,Grumpier Old Men (1995),Comedy|Romance,3.1610169491525424,59
4,Waiting to Exhale (1995),Comedy|Drama|Romance,2.3846153846153846,13
5,Father of the Bride Part II (1995),Comedy,3.267857142857143,56
6,Heat (1995),Action|Crime|Thriller,3.8846153846153846,104
7,Sabrina (1995),Comedy|Romance,3.2830188679245285,53
8,Tom and Huck (1995),Adventure|Children,3.8,5
9,Sudden Death (1995),Action,3.15,20
10,GoldenEye (1995),Action|Adventure|Thriller,3.4508196721311477,122
11,"American President, The (1995)",Comedy|Drama|Romance,3.6890243902439024,82
12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.861111111111111,18
13,Balto (1995),Adventure|Animation|Children,3.9375,8
14,Nixon (1995),Drama,3.4516129032258065,31
15,Cutthroat Island (1995),Action|Adventure|Romance,2.3181818181818183,11
16,Casino (1995),Crime|Drama,3.9488636363636362,88
17,Sense and Sensibility (1995),Drama|Romance,3.9244186046511627,86
18,Four Rooms (1995),Comedy,3.2884615384615383,26
19,Ace Ventura: When Nature Calls (1995),Comedy,2.597826086956522,92
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.5384615384615383,13
21,Get Shorty (1995),Comedy|Crime|Thriller,3.536842105263158,95
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.3552631578947367,38
23,Assassins (1995),Action|Crime|Thriller,3.090909090909091,22
24,Powder (1995),Drama|Sci-Fi,3.0441176470588234,34
25,Leaving Las Vegas (1995),Drama|Romance,3.742574257425743,101
26,Othello (1995),Drama,4.1,5
27,Now and Then (1995),Children|Drama,3.142857142857143,7
28,Persuasion (1995),Drama|Romance,4.083333333333333,18
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,4.025,40
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,4.05,10
31,Dangerous Minds (1995),Drama,3.1785714285714284,42
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.923469387755102,196
34,Babe (1995),Children|Drama,3.6013513513513513,148
35,Carrington (1995),Drama|Romance,3.5454545454545454,11
36,Dead Man Walking (1995),Crime|Drama,3.9375,104
37,Across the Sea of Time (1995),Documentary|IMAX,2,2
38,It Takes Two (1995),Children|Comedy,2,2
